image_id,label
4f6e0dff-7bc1-4db7-8e8a-dd5a7b2c04d4,0ผ0674
2678e665-50a9-42eb-8b98-3a1323a8950d,05กฒ4901
1b3bee82-898d-4aa8-9a7e-6f375ad62d8f,0กฉ9661
6d997bce-395e-4d25-85e4-dec70ead7954,0จห464
59c765b1-cdac-4fa7-902c-685f1591decf,0ฌธ5479
8485e66a-cc0c-4ec5-aca8-edc13e92f532,05กฒ576
e1c2b08a-4688-43e7-907b-ed025b5b2f43,06กษ4549
954b59dc-b324-4099-9f31-a6bb0e60fd8f,02กย369
b446711f-f25d-42c7-8b88-09a0ea24c0a7,
7f5db1b6-da8e-4fab-9129-3fd159d0270d,0พม73
d6f6c21b-2778-4ff2-92a0-ee34a47b41be,08กต8042
664107af-b67c-40bf-ab0a-3a862e118c95,0ญร5186
35e02dd3-a30c-4fcd-86e9-03ceb74f62c4,07กภก4549
a19fbfd2-e621-434b-b6c3-95467bcde8c2,0ฮษ645
646429d6-7fec-4991-b0ea-171da67ffc38,0กท3
894fccde-c08a-4196-889b-5f4518f12a50,05กล8729
6c38700d-0284-437e-9835-614488ac4686,05กล5235
6144c22b-8fc9-414b-a420-882883c49976,0กข6804
34114a14-11c1-4764-8b15-b2e934e3c548,03กบ6161
de457111-30f5-4289-9725-53f71be755bf,01ฒฉ728
77a26a59-bace-4a21-980b-411ed4f7973f,0ฏ306
78a0de00-75fd-4778-942a-c53812c82fa5,02กต6678
2dff71e8-ffa4-413a-b955-becd1bda5301,05กภ8896
f18092c6-0ba9-4d7a-95dd-29d3704de175,03ก7354
7759cbfd-734b-4b84-bb40-1895977f5bb9,07กต6780
81082d16-db84-4e1e-b30d-997cb8d5cad2,0ฆฮ9182
e5d0c1f2-16cf-406f-907e-0c2419b7452a,06กม160
eabf0ef3-b6d3-4356-96c1-7ab08e1d087c,0ญฌ618
72814829-6dd5-4b16-86be-79737c5ad547,0ฒม5139
0cc12c1b-98a7-4670-b543-77f4e1a8c3e9,08กผ4767
d04ebf1b-89de-45e5-825b-8a4a34015f35,0ฎณ9499
6156a97a-ff92-4233-a6f3-8c4c05e3ae5e,03กท4616
839bec88-0d2a-468b-913b-953a3288f5f8,03กส3414
f4e0df7c-2c2b-4cd4-8ec3-e245852fbadb,07กท6998
8986f740-51e5-4832-968c-1b24cbb5636b,04กษษ5046
71f34c39-10cd-4653-b66a-9097b124db45,0ฏภ794
94125e04-f802-4834-9c40-0f90ec82aa55,06กฉ5160
73817779-de9e-4787-8275-e7530f5d0334,07กว2105
2648c0b8-9dd2-490e-a909-a9d26a4c32fb,06กฒ3901
3cd2b076-f0a5-45b0-b9e6-89a6cb839d89,08ก6845
82ec040e-21b4-46f6-947b-1755de8463e8,04กค8159
1911d452-f620-487f-959f-3f515572374e,07กร2518
89e4a431-3505-4265-98aa-d3817145a64f,0สณ7507
73887ebd-12cb-429e-9e50-240ab1a520b1,0ญง3289
0f9fd346-8b85-4faf-a1bf-b94b42548ba2,05กค4032
77fcbd75-aaaa-4f6c-94ee-68aa83eceb7c,05กฮ1715
88c37229-8a41-4e3e-a118-fe70c7e6ec75,06กผ2439
9d4f0e2d-5742-4251-b0b3-46ab3b04a59f,0ชม6046
b188ebb0-ba53-41c5-852c-1448c16e76b4,08กฌ927
e8602f97-1ebf-4106-b65a-1027beba53cb,0ศห8668
2ad5f503-b91c-4285-bb91-e1e1d5af5b19,07กท7884
93119396-955b-4459-9d97-d86b1400fd18,04กฆ9980
